"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"42780","*****","310M400US10100","Aberdeen, SD Micro Area"
"71967","*****","310M400US10140","Aberdeen, WA Micro Area"
"170009","*****","310M400US10180","Abilene, TX Metro Area"
"38358","*****","310M400US10220","Ada, OK Micro Area"
"18181","*****","310M400US10260","Adjuntas, PR Micro Area"
"98474","*****","310M400US10300","Adrian, MI Micro Area"
"307555","*****","310M400US10380","Aguadilla-Isabela, PR Metro Area"
"704454","*****","310M400US10420","Akron, OH Metro Area"
"65745","*****","310M400US10460","Alamogordo, NM Micro Area"
"153101","*****","310M400US10500","Albany, GA Metro Area"
"122870","*****","310M400US10540","Albany, OR Metro Area"
"880481","*****","310M400US10580","Albany-Schenectady-Troy, NY Metro Area"
"61114","*****","310M400US10620","Albemarle, NC Micro Area"
"30526","*****","310M400US10660","Albert Lea, MN Micro Area"
"95145","*****","310M400US10700","Albertville, AL Micro Area"
"910012","*****","310M400US10740","Albuquerque, NM Metro Area"
"40636","*****","310M400US10760","Alexander City, AL Micro Area"
"153894","*****","310M400US10780","Alexandria, LA Metro Area"
"37203","*****","310M400US10820","Alexandria, MN Micro Area"
"41192","*****","310M400US10860","Alice, TX Micro Area"
"834615","*****","310M400US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"41067","*****","310M400US10940","Alma, MI Micro Area"
"28612","*****","310M400US10980","Alpena, MI Micro Area"
"123842","*****","310M400US11020","Altoona, PA Metro Area"
"25384","*****","310M400US11060","Altus, OK Micro Area"
"263412","125","310M400US11100","Amarillo, TX Metro Area"
"35563","*****","310M400US11140","Americus, GA Micro Area"
"96922","*****","310M400US11180","Ames, IA Metro Area"
"49426","*****","310M400US11220","Amsterdam, NY Micro Area"
"399576","*****","310M400US11260","Anchorage, AK Metro Area"
"17818","*****","310M400US11380","Andrews, TX Micro Area"
"34474","*****","310M400US11420","Angola, IN Micro Area"
"365961","*****","310M400US11460","Ann Arbor, MI Metro Area"
"115098","*****","310M400US11500","Anniston-Oxford-Jacksonville, AL Metro Area"
"234561","*****","310M400US11540","Appleton, WI Metro Area"
"36399","*****","310M400US11580","Arcadia, FL Micro Area"
"48406","*****","310M400US11620","Ardmore, OK Micro Area"
"183890","*****","310M400US11640","Arecibo, PR Metro Area"
"22385","*****","310M400US11660","Arkadelphia, AR Micro Area"
"35591","*****","310M400US11680","Arkansas City-Winfield, KS Micro Area"
"449937","*****","310M400US11700","Asheville, NC Metro Area"
"53477","*****","310M400US11740","Ashland, OH Micro Area"
"98136","*****","310M400US11780","Ashtabula, OH Micro Area"
"38562","*****","310M400US11820","Astoria, OR Micro Area"
"16363","*****","310M400US11860","Atchison, KS Micro Area"
"65936","*****","310M400US11900","Athens, OH Micro Area"
"52773","*****","310M400US11940","Athens, TN Micro Area"
"80460","*****","310M400US11980","Athens, TX Micro Area"
"205303","*****","310M400US12020","Athens-Clarke County, GA Metro Area"
"5779463","*****","310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area"
"268539","*****","310M400US12100","Atlantic City-Hammonton, NJ Metro Area"
"37328","*****","310M400US12120","Atmore, AL Micro Area"
"42704","*****","310M400US12140","Auburn, IN Micro Area"
"77868","*****","310M400US12180","Auburn, NY Micro Area"
"159287","*****","310M400US12220","Auburn-Opelika, AL Metro Area"
"594300","*****","310M400US12260","Augusta-Richmond County, GA-SC Metro Area"
"121545","*****","310M400US12300","Augusta-Waterville, ME Micro Area"
"39602","*****","310M400US12380","Austin, MN Micro Area"
"2058351","*****","310M400US12420","Austin-Round Rock, TX Metro Area"
"26833","*****","310M400US12460","Bainbridge, GA Micro Area"
"883053","*****","310M400US12540","Bakersfield, CA Metro Area"
"2793250","*****","310M400US12580","Baltimore-Columbia-Towson, MD Metro Area"
"151748","*****","310M400US12620","Bangor, ME Metro Area"
"63596","*****","310M400US12660","Baraboo, WI Micro Area"
"45388","*****","310M400US12680","Bardstown, KY Micro Area"
"213690","*****","310M400US12700","Barnstable Town, MA Metro Area"
"58477","*****","310M400US12740","Barre, VT Micro Area"
"52001","*****","310M400US12780","Bartlesville, OK Micro Area"
"25992","*****","310M400US12820","Bastrop, LA Micro Area"
"58112","*****","310M400US12860","Batavia, NY Micro Area"
"37264","*****","310M400US12900","Batesville, AR Micro Area"
"829642","*****","310M400US12940","Baton Rouge, LA Metro Area"
"134473","*****","310M400US12980","Battle Creek, MI Metro Area"
"104786","*****","310M400US13020","Bay City, MI Metro Area"
"36743","*****","310M400US13060","Bay City, TX Micro Area"
"21595","*****","310M400US13100","Beatrice, NE Micro Area"
"409693","*****","310M400US13140","Beaumont-Port Arthur, TX Metro Area"
"87776","*****","310M400US13180","Beaver Dam, WI Micro Area"
"120358","*****","310M400US13220","Beckley, WV Metro Area"
"45619","*****","310M400US13260","Bedford, IN Micro Area"
"32691","*****","310M400US13300","Beeville, TX Micro Area"
"45307","*****","310M400US13340","Bellefontaine, OH Micro Area"
"216812","*****","310M400US13380","Bellingham, WA Metro Area"
"46117","*****","310M400US13420","Bemidji, MN Micro Area"
"180640","*****","310M400US13460","Bend-Redmond, OR Metro Area"
"27131","*****","310M400US13500","Bennettsville, SC Micro Area"
"35920","*****","310M400US13540","Bennington, VT Micro Area"
"38246","*****","310M400US13620","Berlin, NH-VT Micro Area"
"43264","*****","310M400US13660","Big Rapids, MI Micro Area"
