"Notes"	"County"	"County Code"	"Daily Max Heat Index (C)"	"Daily Max Heat Index (C) Code"	Avg Daily Max Heat Index (C)
	"Autauga County, AL"	"01001"	"26"	"26"	26.30
	"Autauga County, AL"	"01001"	"27"	"27"	27.12
	"Autauga County, AL"	"01001"	"28"	"28"	28.05
	"Autauga County, AL"	"01001"	"29"	"29"	29.01
	"Autauga County, AL"	"01001"	"30"	"30"	30.00
	"Autauga County, AL"	"01001"	"31"	"31"	31.00
	"Autauga County, AL"	"01001"	"32"	"32"	32.03
	"Autauga County, AL"	"01001"	"33"	"33"	33.00
	"Autauga County, AL"	"01001"	"34"	"34"	33.98
	"Autauga County, AL"	"01001"	"35"	"35"	35.01
	"Autauga County, AL"	"01001"	"36"	"36"	36.00
	"Autauga County, AL"	"01001"	"37"	"37"	37.00
	"Autauga County, AL"	"01001"	"38"	"38"	38.00
	"Autauga County, AL"	"01001"	"39"	"39"	39.00
	"Autauga County, AL"	"01001"	"40"	"40"	40.00
	"Autauga County, AL"	"01001"	"41"	"41"	40.97
	"Autauga County, AL"	"01001"	"42"	"42"	41.99
	"Autauga County, AL"	"01001"	"43"	"43"	42.96
	"Autauga County, AL"	"01001"	"44"	"44"	43.95
	"Autauga County, AL"	"01001"	"45"	"45"	44.92
	"Autauga County, AL"	"01001"	"46"	"46"	46.25
	"Autauga County, AL"	"01001"	"47"	"47"	46.96
	"Autauga County, AL"	"01001"	"49"	"49"	49.28
	"Autauga County, AL"	"01001"	"N/A"	"N/A"	Missing
"Total"	"Autauga County, AL"	"01001"			33.55
	"Baldwin County, AL"	"01003"	"26"	"26"	26.37
	"Baldwin County, AL"	"01003"	"27"	"27"	27.15
	"Baldwin County, AL"	"01003"	"28"	"28"	28.05
	"Baldwin County, AL"	"01003"	"29"	"29"	29.00
	"Baldwin County, AL"	"01003"	"30"	"30"	30.01
	"Baldwin County, AL"	"01003"	"31"	"31"	31.00
	"Baldwin County, AL"	"01003"	"32"	"32"	32.01
	"Baldwin County, AL"	"01003"	"33"	"33"	33.01
	"Baldwin County, AL"	"01003"	"34"	"34"	34.00
	"Baldwin County, AL"	"01003"	"35"	"35"	35.00
	"Baldwin County, AL"	"01003"	"36"	"36"	36.00
	"Baldwin County, AL"	"01003"	"37"	"37"	36.97
	"Baldwin County, AL"	"01003"	"38"	"38"	37.98
	"Baldwin County, AL"	"01003"	"39"	"39"	39.01
	"Baldwin County, AL"	"01003"	"40"	"40"	39.97
	"Baldwin County, AL"	"01003"	"41"	"41"	40.94
	"Baldwin County, AL"	"01003"	"42"	"42"	41.99
	"Baldwin County, AL"	"01003"	"43"	"43"	43.00
	"Baldwin County, AL"	"01003"	"44"	"44"	44.03
	"Baldwin County, AL"	"01003"	"45"	"45"	44.89
	"Baldwin County, AL"	"01003"	"46"	"46"	46.04
	"Baldwin County, AL"	"01003"	"47"	"47"	47.17
	"Baldwin County, AL"	"01003"	"N/A"	"N/A"	Missing
"Total"	"Baldwin County, AL"	"01003"			33.80
	"Barbour County, AL"	"01005"	"26"	"26"	26.31
	"Barbour County, AL"	"01005"	"27"	"27"	27.12
	"Barbour County, AL"	"01005"	"28"	"28"	28.05
	"Barbour County, AL"	"01005"	"29"	"29"	28.98
	"Barbour County, AL"	"01005"	"30"	"30"	30.00
	"Barbour County, AL"	"01005"	"31"	"31"	31.01
	"Barbour County, AL"	"01005"	"32"	"32"	32.00
	"Barbour County, AL"	"01005"	"33"	"33"	33.01
	"Barbour County, AL"	"01005"	"34"	"34"	34.02
	"Barbour County, AL"	"01005"	"35"	"35"	34.99
	"Barbour County, AL"	"01005"	"36"	"36"	35.98
	"Barbour County, AL"	"01005"	"37"	"37"	36.96
	"Barbour County, AL"	"01005"	"38"	"38"	37.96
	"Barbour County, AL"	"01005"	"39"	"39"	38.97
	"Barbour County, AL"	"01005"	"40"	"40"	39.97
	"Barbour County, AL"	"01005"	"41"	"41"	40.99
