"state.abb","fips","county_name","pslave1860","longitude","latitude","coarea00","coarea","rugged","land.ineq1860","sfarmprop1860","totpop1860","fvalpc1860","fvalpac1860","acimp1860","fbprop1860","rail1860","water1860","sprop1850","sprop","cottonsuit","nmatch.diff.20","blkprop1870","blkprop20","blkprop40","blkprop70","blkprop00","blkprop2010","totpop00","highsch90","unemp","medinc00","wbincratio00","slavesperhouse","s.mortrate","w.mortrate","livstock","livstock1870","farmval","farmval1870","totpop1880","totpop1890","totpop10","totpop20","totpop30","totpop40","totpop50","lynchings","lynchrate","tractors40","tractors30","blklwage1940","whtlwage1940","btenantprop25","wtenantprop25","coacres25","bfarmerownerprop25","wfarmerownerprop25","sprop.1","land.ineq","sfarmprop","totpop","fvalpc","acimp","fbprop","rail","water","pdem1840","pdem1844","pdem1848","pdem1852","pdem1856","pdem1860","pdem1864","pdem1868","pdem1872","pdem1876","pdem1880","pdem1884","pdem1888","pdem1892","pdem1896","pdem1900","pdem1904","pdem1908","pdem1912","pdem1916","pdem1920","pdem1924","pdem1928","pdem1932","pdem1936","pdem1940","pdem1944","pdem1948","pdem1952","pdem1956","pdem1960","pdem1964","breckinridge1860","wallace68.alt","thurmond48","wht.obama.vote","stot1860","whtot1860","wbincratio2014","w.med.income2014","b.med.income2014","outflow","inflow","dem","rep","affirm","resent","sample.size","sample.size.res"
"AL",1001,"Autauga",0.573929147499851,-86.6427347164707,32.5349261161401,0.150257030247999,596,39.4214630126953,0.543276344896122,0.371232876712329,10281.5733492637,173.324870063923,22.0239803238369,80914.1825687652,0.000836370153533664,1,1,0.581108966251747,0.573929147499851,0.442455,0,0.627376752989762,0.565686481912418,0.533632073223054,0.283442354865086,0.171120423164113,0.176705576221803,43671,70,3.4,36803,2.10481521937011,4.53893658424908,1488.49797023004,1435.60872624912,778906,369056,2901285,1122059,13108,13330,20038,18908,19694,20977,18186,1,5.28876665961498e-05,0.0177378964941569,0.00615368150684932,5.29831736654804,6.39692965521615,83.1818181818182,43.254376930999,373760,0.144318181818182,0.525231719876416,0.573929147499851,0.544414995024598,0.371232876712329,16739,173.324870063923,131733,0.000836370153533664,1,1,49.2999992370605,57.0999984741211,46,44.5,56.7000007629395,31.2000007629395,NA,NA,29.6000003814697,33.7999992370605,49.7000007629395,50.9000015258789,63.2000007629395,95.6999969482422,73.3000030517578,62.7000007629395,89.8000030517578,87.0999984741211,73.3000030517578,87,80.5999984741211,81.9000015258789,56.4000015258789,89.6999969482422,94.3000030517578,93.5999984741211,91.0999984741211,47.4000015258789,65.1999969482422,49.75,52.0800018310547,0,48.5,84.9393607022573,47.4000015258789,0.111890724430979,5900.89462730013,4364.09454845086,1.84878680038822,57146,30910,6905,7474,0.416090032813954,0.382959177469112,0.119538053536267,4.10352135212949,12.5243720726339,3.40787107929472
"AL",1003,"Baldwin",0.493227091633466,-87.7225810846616,30.727581616472,0.409825490145131,1596,22.6992797851562,0.639581942508012,0.75531914893617,6320.69078043177,62.1633466135458,46.1581698057391,8512.36722501441,0.0185922974767596,0,1,0.502492070684187,0.493227091633466,0.352170689655172,1,0.473850766155896,0.230631934394597,0.249690632347482,0.17810110807989,0.102866502866503,0.0938468713137465,140415,73.1999969482422,3,35438,1.79259578131726,4.64978902953586,1911.68551427033,1394.70013947001,294470,124137,468090,140550,8603,8941,18178,20730,28289,32324,40997,1,4.82392667631452e-05,0.0560872597644141,0.022237460815047,5.4701676234747,5.54126354515843,25.8426966292135,16.256157635468,1020800,0.625468164794007,0.769816390506046,0.493227091633466,0.65080007519062,0.75531914893617,7530,62.1633466135458,10141,0.0185922974767596,0,1,46.2999992370605,44.5999984741211,57.0999984741211,53.7000007629395,39.7000007629395,17.7000007629395,NA,NA,43.7000007629395,54.4000015258789,52.7999992370605,52.2000007629395,57,72.1999969482422,59.5999984741211,48.2000007629395,73.9000015258789,68.6999969482422,67.3000030517578,67.1999969482422,63.5,51.7000007629395,48.4000015258789,75.5,78.8000030517578,76.6999969482422,73.4000015258789,42.7999992370605,51.1699981689453,46.0699996948242,53.2900009155273,0,28.2000007629395,63.2102820895018,42.7999992370605,0.180571517316353,3117.53593074682,3009.25318032508,1.92017161086869,52365,27271,24217,29172,0.111002521807344,0.684179194496351,0.0991928334507485,4.05222326432367,76.336881833314,41.02295051714
"AL",1005,"Barbour",0.52414643645333,-85.3932780820398,31.8695648809314,0.223191924841249,885,28.9606018066406,0.538185511939666,0.366252452583388,26680.9603923869,161.002596391017,23.7189194358116,181108.751981946,0.00107101129430092,0,1,0.456161137440758,0.52414643645333,0.519124242424242,1,0.585656283052987,0.605575825615118,0.554947741580588,0.461739786186399,0.463220607479854,0.468915030775394,29038,55.5999984741211,4.3,25925,2.16655415771709,4.7991827754204,1479.87616099071,874.974365985372,1225193,669972,4960812,2374493,33979,34898,32728,32067,32425,32722,28892,3,9.35541210590327e-05,0.00799499443826474,0.00496847587719298,5.65248918026865,6.5206211275587,88.360814742968,54.2043984476067,583680,0.106692531522793,0.410090556274256,0.52414643645333,0.539103202150959,0.366252452583388,30812,161.002596391016,209150,0.00107101129430092,0,0,38.4000015258789,43.5999984741211,33.7999992370605,26.2999992370605,62.7999992370605,0.400000005960464,NA,NA,45.7000007629395,95.6999969482422,69.5999984741211,75.0999984741211,88.5999984741211,99.6999969482422,49.9000015258789,89.5999984741211,94,92.8000030517578,90.4000015258789,94.5999984741211,87.8000030517578,91.5999984741211,63.4000015258789,96.9000015258789,97.5,95.9000015258789,94.9000015258789,48.5,73.7699966430664,73.3499984741211,64.4800033569336,0,72.4000015258789,73.5959435835283,48.4000015258789,0.18303588208194,13984.730310822,12667.6544716418,1.89043898048521,46208,24443,4651,4999,0.098179475502067,0.810476177239765,0.0408591986602609,3.76049216618678,10.6830616187885,7.10469834364649
"AL",1007,"Bibb",0.323020010089121,-87.1264012273259,32.9986303552424,0.156432637831999,623,30.5886268615723,0.495881022656313,0.421412300683371,8586.92031734449,121.275853371448,19.3086808111907,53933.5700611418,0.00210190011770641,1,0,0.286989667970709,0.323020010089121,0.422777272727273,1,0.322399250234302,0.337754925682682,0.32895063259737,0.283811178685201,0.222030154614424,0.220248745363299,20826,51.7999992370605,6.2,28039,2.06834848929305,5.04969696969697,1145.23685580427,984.178397907064,608458,147466,1442455,295110,9487,13824,22791,23144,20780,20155,17987,11,0.000475285171102662,0.00575,0.00591482649842271,5.9597158487934,6.18208490671663,65.53480475382,35.8347386172007,405760,0.212224108658744,0.532040472175379,0.323020010089121,0.499610536321268,0.421412300683371,11894,121.275853371448,74705,0.00210190011770641,0,0,45.0999984741211,57,46.7000007629395,58.9000015258789,52.9000015258789,11.5,NA,NA,64.5999984741211,72.8000030517578,87.4000015258789,69,59,98.8000030517578,44,56.7999992370605,83.0999984741211,73,71.9000015258789,78.5999984741211,76.5,63.7000007629395,54,90.3000030517578,90.4000015258789,90.5,83.3000030517578,47.0999984741211,71.1800003051758,57.0499992370605,61.7299995422363,0,45.4000015258789,61.3671907805882,46.9000015258789,0.126654799448495,2773.74708754309,5795.12438097564,1.89987109842556,41269,21722,2766,2437,0.608674156042677,0.391325843957323,0,5,6.18577674998015,1.74759703421051
"AL",1009,"Blount",0.0612977450529222,-86.5673619519624,33.980889074553,0.1644409974645,646,66.4524002075195,0.467635350654639,0.526019690576653,6911.44055970588,76.6221813161528,20.3331460811372,26044.6489494743,0.000552231937413714,0,0,0.0578254377629972,0.0612977450529222,0.384079545454545,0,0.0685771744595274,0.0555250998512021,0.0428280773143438,0.0284511972591517,0.0118767638758231,0.0132758801158369,51024,60.5,2.5,32676,1.08086376511437,5.03658536585366,1501.5015015015,932.01216521142,305025,435315,832500,649291,15369,21927,21456,25538,28020,29490,28975,1,3.91573341686898e-05,0.037353515625,0.0175751155624037,6.20556735377004,5.94672865326659,48,39.1662095447065,415360,0.4,0.512616566099835,0.0612977450529222,0.473581671381615,0.526019690576653,10865,76.6221813161528,40943,0.000552231937413714,0,0,87.3000030517578,90.1999969482422,79.6999969482422,88.5,95.4000015258789,42.5999984741211,NA,NA,66.5,80.1999969482422,83.5,76.3000030517578,83.0999984741211,98.1999969482422,37,52.9000015258789,57,52.7999992370605,48.7000007629395,54.0999984741211,50.0999984741211,56.0999984741211,47.9000015258789,78,78.1999969482422,75.6999969482422,67.9000015258789,40.9000015258789,64.6600036621094,54.2000007629395,56.9700012207031,0,52.5,44.325650667872,40.7999992370605,0.138812640548593,423.655721377277,6483.96812011799,1.5744347826087,45265,28750,6090,6952,0.258808844961201,0.567370177626838,0.230650420927349,4.36800158674662,22.8395596134358,5.29319072133766
"AL",1011,"Bullock",0.542222999333408,-85.7160553695761,32.1004591722918,0.154892250211005,625,25.974910736084,0.49711971516952,0.295924649604445,16464.9310227355,193.704580933528,25.9489829283864,122907.806161817,0.000457680074998595,1,0,NA,NA,0.452218181818182,0,0.704870474789573,0.815142304504007,0.780363452801615,0.674221921515562,0.731091002219566,0.702400586402785,11714,49,9.1,20401,2.23912635333876,NA,NA,NA,NA,715225,NA,2468172,29066,27063,30196,25333,20016,19810,16054,2,7.89484072158844e-05,0.00584349593495935,0.00358606557377049,5.07517381523383,6.28785856016178,92.3107890499195,47.8927203065134,390400,0.0571658615136876,0.46551724137931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.2999992370605,62,16,66,60.5999984741211,97.8000030517578,66.6999969482422,85,99.6999969482422,98.6999969482422,99.1999969482422,99.1999969482422,99.6999969482422,98.8000030517578,73.6999969482422,98.6999969482422,99.5,98.5999984741211,97.8000030517578,49.7000007629395,67.4899978637695,62.4799995422363,64.6999969482422,0,NA,88.6755870579203,49.7000007629395,0.337460896767466,8927.6642829653,7529.38406153854,1.93943858853753,51335,26469,1744,1594,0,1,0,NA,0.537151714373895,0
"AL",1013,"Butler",0.376227789427216,-86.6802724704536,31.7524240868292,0.191763097962503,777,21.0061283111572,0.498654016381889,0.402142161635832,14063.1161624776,162.826619578413,29.5195430126352,77570.6339523838,0.00242798808078579,0,0,0.335825027685493,0.376227789427216,0.415448484848485,1,0.426607035578399,0.493718465341506,0.483496162973464,0.397010042259281,0.408056451236039,0.434191053611496,21399,52.7999992370605,12.5,22813,1.91921855336489,4.23946932006633,1305.36814315048,1021.31438721137,746735,363962,2950744,927827,19649,21641,29030,29531,30195,32447,29228,12,0.00040635264637161,0.00323415265200517,0.00450524246395806,5.26269018890489,6.16331480403464,84.7129909365559,43.6775818639798,488320,0.135347432024169,0.52544080604534,0.376227789427216,0.500692904784205,0.402142161635832,18122,162.826619578413,99959,0.00242798808078579,0,0,27.7999992370605,37.7999992370605,26.3999996185303,42.0999984741211,49.5,5.30000019073486,NA,NA,57.5,66.0999984741211,70.0999984741211,60.9000015258789,58.0999984741211,92.3000030517578,45.2999992370605,37.2000007629395,84.3000030517578,80.4000015258789,83,93,88.3000030517578,83.3000030517578,63.9000015258789,96.4000015258789,96.3000030517578,98,95.6999969482422,48.2000007629395,69.1600036621094,55.4199981689453,69.6699981689453,0,43.5,65.2670222770636,48.2000007629395,0.131401363174941,5290.9351062671,8738.03597778931,1.83299193724123,42058,22945,2247,1665,0,0.967003158386756,0.250277709211792,4.2486664023975,11.476254018337,6.92849562575748
"AL",1015,"Calhoun",0.201587817447421,-85.826031276373,33.771424093447,0.154340170513498,608,65.058349609375,0.521501477566435,0.502748930971289,12445.74928411,125.79014810344,21.6222208034731,72404.8033703833,0.00129996750081248,0,1,0.219250713744683,0.201587817447421,0.377938636363636,0,0.278397711015737,0.25279160219146,0.205135899177182,0.169091685096807,0.185391406604959,0.205630334311642,112249,67.4000015258789,4.6,30432,1.67915667954801,10.3289160401002,1381.85168125288,768.827538004543,812766,339112,2709394,1324105,19591,33835,39115,47822,55611,63319,79539,4,8.36435113546067e-05,0.0519979508196721,0.0355691056910569,6.14846829591765,6.59030104819669,76.5060240963855,61.6727568006496,393600,0.186746987951807,0.348761672756801,0.201587817447421,0.522415976240649,0.502748930971289,21539,125.79014810344,125306,0.00129996750081248,0,0,NA,NA,NA,NA,NA,2,NA,NA,81.5,82.9000015258789,79.1999969482422,65.5,73.9000015258789,95.5999984741211,53.9000015258789,68.4000015258789,80.5,67.8000030517578,70.5,81.8000030517578,74.4000015258789,67.5999984741211,45.5,86,87,86.9000015258789,85.5999984741211,43.7000007629395,71.6699981689453,65.2200012207031,65.8600006103516,0,84.9000015258789,41.9229891137477,43.5999984741211,0.188860773292556,2508.91143468154,9920.65877983586,1.73238183646631,44789,25854,18313,18814,0.253297924747532,0.593458327665673,0.172994197942703,3.67043221416576,32.8385166608751,7.16212218700349
"AL",1017,"Chambers",0.510424743689153,-85.39237528789,32.9144702270417,0.150373236242581,597,19.8325176239014,0.452289919862098,0.229037267080745,19334.01153202,130.780261910916,13.4236501991926,188362.111230992,0.00215387266304816,1,0,0.465692821368948,0.510424743689153,0.450621052631579,1,0.489010363284364,0.478726244508628,0.424571726854268,0.346077676312026,0.381133313287593,0.38746163963174,36583,54.2999992370605,4.2,28093,1.57762355023522,5.30689050701187,1822.93864461136,980.998674326116,1132376,454123,3035933,1286665,23440,26319,36056,41201,39313,42146,39528,2,4.85425111040994e-05,0.00940635451505017,0.00714869281045752,5.50125821054473,6.5510803350434,93.0204081632653,56.1497326203209,391680,0.063265306122449,0.400583373845406,0.510424743689153,0.453805868709438,0.229037267080745,23214,130.780261910916,226163,0.00215387266304816,1,0,39.5,44.7000007629395,34.2000007629395,47.2000007629395,54.0999984741211,7.5,NA,NA,57.4000015258789,68.4000015258789,67.8000030517578,63.5999984741211,57,97.4000015258789,54.5,74.1999969482422,90.8000030517578,92.8000030517578,90.8000030517578,89.9000015258789,85.5999984741211,91,36.5999984741211,87.9000015258789,96.9000015258789,97.1999969482422,94.4000015258789,46.2000007629395,85.5999984741211,76.6399993896484,72.7300033569336,0,48.5999984741211,50.4005780377164,46.2000007629395,0.177754983784592,9868.55788071444,9423.81065239969,1.81723030916047,41322,22739,4346,4299,0,0.855303628870409,0,5,7.76948825783912,1.4139238805731
"AL",1019,"Cherokee",0.163507625272331,-85.6038016387933,34.175925429173,0.151950486771499,553,70.1247634887695,0.493115574617696,0.437354085603113,14566.8232002964,162.269335511983,27.8646919630749,84829.5299429461,0.00201525054466231,0,1,0.121794871794872,0.163507625272331,0.382142857142857,0,0.132950053898671,0.0996548748921484,0.086561621838619,0.0935537613738306,0.0554443888610972,0.0464812035861326,23988,53.5,4.4,28922,1.16736948165839,4.14406779661017,1898.73417721519,939.886430389661,739631,371513,2979265,1267036,19108,20459,20226,20862,20219,19928,17634,2,9.58680855143323e-05,0.0940104166666667,0.045223136915078,5.01063529409626,5.07517381523383,73.394495412844,61.7341814529628,369280,0.178899082568807,0.341144961499833,0.163507625272331,0.495875241896171,0.437354085603113,18360,162.269335511983,106919,0.00201525054466231,0,0,66.8000030517578,72.8000030517578,59.4000015258789,75.1999969482422,77.1999969482422,9.10000038146973,NA,NA,84.3000030517578,85,88.5,76.5999984741211,82.6999969482422,95.5,26.5,41.9000015258789,53.5,50.4000015258789,46.5999984741211,67.8000030517578,54.5999984741211,60.5999984741211,37,83.0999984741211,84.3000030517578,86.9000015258789,80.5999984741211,44.9000015258789,82.9599990844727,75.7399978637695,78.0100021362305,0,69.5,54.6601712241102,44.9000015258789,0.200369945392075,2381.78666924236,12155.6807326656,1.05707405177604,35116,33220,2533,2661,0.138883053209607,0.588040228585335,0.304902772183259,3.86834815779481,10.0020231818438,1.78154262843423
"AL",1021,"Chilton",0.450265199734669,-86.7188682695371,32.8478404198185,0.174829544709493,694,31.2626037597656,0.527136944313746,0.386942534480921,10963.9479625671,157.995133100467,23.2092717137113,74636.1384803392,0.00156287048273341,1,0,NA,NA,0.423816071428571,1,0.183564740071036,0.174044795783926,0.165766410302272,0.137609213661636,0.106079357462178,0.0969227596636345,39593,56.5999984741211,3.4,30539,1.73584810636583,NA,NA,NA,NA,237442,NA,284378,10793,14549,23187,22770,24579,27955,26922,9,0.000395256916996047,0.00536480686695279,0.00635518934081346,6.16331480403464,5.89715386763674,64.3137254901961,45.249653259362,456320,0.27843137254902,0.493411927877947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.8000030517578,84.5,74,71.5999984741211,92.8000030517578,36.2000007629395,35.7000007629395,44.5,40.4000015258789,39.2000007629395,38.4000015258789,29.2000007629395,33.5999984741211,30.5,51.2999992370605,63.2999992370605,57.7999992370605,58.9000015258789,35.5999984741211,46.8400001525879,36.7299995422363,35.4900016784668,0,NA,49.9182615325963,35.5,0.12094091435891,4936.68421924578,6007.26965334777,1.4752882751114,43372,29399,5423,5237,0,0.599297990972098,0,3,6.05100242689961,0.185814556537182
